Productos,Marca,Precio
Aceite de Oliva,Frutos del norte,"$3500,00"
Aceite de Oliva  x250ml,Zuelo,"$2,650"
Aceite de Oliva,Buonoliva,"$ 2000,00"
Alfajor DDL,Angiola,"$ 380,00"
Alfajor de algarroba y frutilla,Kiwicha,
Alfajor de arroz limón,Lulemuu,"$ 250,00"
Alfajor de chocolate,Ceral,"$300,00"
Alfajor de chocolate blanco y nuez,Celienergy,"$ 450,00"
Alfajor de quinoa y durazno,Kiwicha,"$ 290,00"
Alfajor de quinoa y manzana,Kiwicha,
Alfajor de membrillo ,Banda naranja,$300
Alfajor de dulce de leche,Banda naranja,$300
"Alfajor de Zapallo, algarriba y ddl",Celienergy,"$ 450,00"
Barrita arándanos y pasas,Muecas,"$ 350,00"
Barrita arándanos y manzana,Muecas,$350
Barrita cacao y avellanas,Muecas,$350
Bizcocho de arroz dulce,Lulemuu,"$ 280,00"
Bombones de fruta,Abuela Mecha,"$ 80,00"
Budín chips chocolate,Angiola,"$ 1.300,00"
Caldo de verdura dietetico sin sal agreg.,Caldiet,
Caldo de verduras con sal marina,Argendiet,"$ 450,00"
Caldo de verduras sin sal agregada,Argendiet,"$ 450,00"
Caramelos de propóleo y miel,,"$ 20,00"
Centella asiática 60 cc,Hierbas del Oasis,
Cereal de frutilla y manzana,Felfort,"$ 180,00"
Chocolate 70% cacao con stevia,Colonial,"$ 1.400,00"
Chorqui de frutilla,Lulemuu,"$ 200,00"
Colágeno 50 cápsulas,Natier,"$ 7100,00"
Crackers,Smams,"$ 730,00"
Crocante de cereal arroz,Shih,"$350,00"
Dulce de leche a base de plantas,NotCo,$900
Fideos de arroz espinaca 300gr,Soy arroz,"$ 800,00"
Fideos de arroz Morrón 300 gr,Soy arroz,"$800,00"
Fideos de arroz spaghetti espinaca 200gr,Orox Alimentos,"$ 660,00"
Fideos de arroz spaghetti espinaca 400 gr,Orox Alimentos,"$ 1180,00"
Fideos de arroz spaghetti morrón 400 gr,Orox Alimentos,"$ 1180,00"
Fideos de arroz tradicionales 300gr,Soy arroz,"$ 800,00"
Fideos integrales ×227gr,Mi fideo,$390
Galletas de arroz integral con sal,Dhum crack,"$ 250,00"
Galletas de arroz integral dulce,Dhum crack,"$ 250,00"
Galletas de arroz integral sin sal,Dhum crack,"$ 250,00"
Galletitas Algarroba,Canvas,"$ 450,00"
Galletitas Algarroba,Nutresan,$500
Galletitas Avena y pasas,Ceral,"$ 600,00"
Galletitas Chía,Canvas,"$ 450,00"
Galletitas Chocolate,Delicel,"$ 550,00"
Galletitas chocolate sin azúcar,Marbe,"$ 600,00"
Galletitas Chocolate y mani,Canvas,"$ 450,00"
Galletitas Coco,Nutresan,$500
Galletitas de Coco,Delicel,"$ 550,00"
Galletitas jengibre,Canvas,"$450,00"
Galletitas limón,Delicel,"$ 550,00"
Galletitas Miel,Nutresan,$500
Galletitas mix de semillas,Levians,"$ 290,00"
Galletitas multicereal,Levians,"$ 290,00"
Galletitas Naranja,Ceral,"$600,00"
Galletitas limón,Ceral,"$600,00"
Galletitas vainilla,Ceral,"$ 600,00"
Galletitas Oliva,Canvas,"$450,00"
Galletitas pepas,Delicel,"$ 550,00"
Galletitas salvado,Levians,"$ 290,00"
Galletitas sinsal,Levians,"$ 290,00"
galletitas tradicional,Levians,"$ 290,00"
Galletitas vainilla y chips choco,Delicel,"$ 550,00"
Gelatina Light Frambuesa,Diet control,"$ 700,00"
Humus de garbanzos  x180gr,Pampagourmet,"$1,290.00"
Hamburguesas veganas,Fusa,"$ 720,00"
Jugo de manzana 200 ml,Pura Frutta,"$ 350,00"
Jugo de stevia y arándanos,Cuarto creciente,"$ 620,00"
Jugo Manzana 1l,Pura Frutta,"$ 1050,00"
Jugo Multifruta,Pura Frutta,"$ 1050,00"
Jugo Naranja 1lt,Citric,$850.00
Leche Almendra,Biba,$1.400.00
Leche Almendra,Cocoon,"$ 1.400,00"
Leche Coco,Cocoon,"$ 1.400,00"
Leche a base de plantas NotMilk,NotCo,$870
Leche Quinoa,Biba,"$ 930,00"
Manteca Ghee,Doña Magdalena,"$ 2.400,00"
Magnesio 60 capsulas,,"$1,960"
Mantequilla de maní 360 gr,Le-fit,
Manteca de mani,Oddis,"$ 1.800,00"
Marineras con gluten sin sal,Ceral,"$ 620,00"
Mermelada arándanos con stevia,Cuarto creciente,"$ 1350,00"
Mermelada de ciruela con semillas,Cuarto creciente,"$ 1400,00"
Mermelada de durazno con stevia,Cuarto creciente,"$1350,00"
Mermelada de frutilla con stevia,Cuarto creciente,"$1350,00"
Mermelada de frutos rojos con semillas,Cuarto creciente,"$1400,00"
Mermelada frutilla con semillas,Cuarto creciente,"$1400,00"
Miel 250gr,La miel de fiore,$720
Miel 500 gr,Emeley,"$1100,00"
Milanesas veg. Rellenas tomate y queso,,"$1,180.00"
Palo Santo,Sagrada Madre,$620
Pasta de maní 485 gr,Mani king,"$ 1.400,00"
Pasta de mani,Oddis,"$ 1540,00"
Premezcla 1 pan casero,Delicel,
Premezcla 2 pizza,Delicel,"$ 960,00"
Premezcla 29 Ñoquis,Delicel,"$ 1.280,00"
Premezcla 3 Universal,Delicel,"$1,160"
Sal gruesa marina,Macrozen,$600.00
Sal Marina fina,Macrozen,
Sal rosa del Himalaya,,"$ 930,00"
Salsa de soja 450 cm3,Sakanashi,"$1150,00"
Salsa de soja 970 cm3,Sakanashi,"$ 2000,00"
Sahumerios  natural,Sagrada Madre,$800
Snack Batatitas,Sabores,"$ 480,00"
Snack Chips de papas rústicas,Sabores,$480.00
Snack Chips de zanahoria,Sabores,"$ 430,00"
Snack jamón,Smams,"$350,00"
Snack Nachos Mexicanos,Antojito,"$ 520,00"
Snack Nachos sabor cheddar,Antojito,$520
Snack Nachos sabor panceta,Antojito,$520
Snack Queso,Smams,"$ 350,00"
Stevia en polvo 110 gr,Jual,"$ 1.300,00"
Stevia líquida 120cc,Steviadulri,"$ 1.400,00"
Stevia en sobres,Steviadulri,"$ 1060,00"
Stevia líquida 250 ml,Jual,
